('dog', '306', '305', '289', '173', '0.3401821553707123')
('dog', '310', '306', '292', '172', '0.28317588567733765')
('dog', '310', '306', '292', '172', '0.28451573848724365')
('dog', '312', '304', '291', '173', '0.29562628269195557')
('dog', '314', '305', '288', '174', '0.23182077705860138')
('dog', '318', '311', '288', '168', '0.319118469953537')
('dog', '322', '311', '292', '165', '0.3232951760292053')
('dog', '325', '323', '300', '156', '0.22395916283130646')
('diningtable', '318', '309', '322', '176', '0.21913743019104004')
('diningtable', '316', '303', '308', '183', '0.22219005227088928')
('sofa', '315', '246', '313', '240', '0.2348007708787918')
('sofa', '316', '249', '323', '240', '0.2045930176973343')
('sofa', '319', '254', '326', '228', '0.21644704043865204')
('sofa', '319', '251', '335', '235', '0.2279583066701889')
('chair', '330', '257', '312', '229', '0.20735755562782288')
('chair', '330', '257', '309', '229', '0.20775246620178223')
('chair', '327', '257', '307', '229', '0.24438828229904175')
('chair', '326', '253', '305', '229', '0.26536795496940613')
('bird', '325', '249', '307', '234', '0.2606281638145447')
('bird', '324', '247', '308', '234', '0.22029238939285278')
('bird', '324', '247', '304', '235', '0.27639344334602356')
('bird', '322', '247', '305', '233', '0.2503557503223419')
('bird', '322', '248', '304', '232', '0.2947327494621277')
('bird', '323', '247', '303', '233', '0.25751614570617676')
('bird', '323', '247', '301', '232', '0.2767225503921509')
('bird', '322', '247', '302', '233', '0.28269025683403015')
('chair', '322', '247', '300', '233', '0.2891179323196411')
('chair', '322', '245', '301', '235', '0.28764310479164124')
('bird', '321', '245', '302', '234', '0.2995792031288147')
('chair', '323', '246', '303', '233', '0.27348387241363525')
('chair', '324', '247', '306', '233', '0.24047298729419708')
('chair', '325', '248', '306', '231', '0.22251348197460175')
('person', '326', '249', '305', '230', '0.2522713840007782')
('bird', '325', '249', '306', '230', '0.21460497379302979')
('bird', '325', '251', '306', '228', '0.22742204368114471')
('chair', '326', '250', '305', '230', '0.2157725840806961')
('bird', '326', '249', '305', '229', '0.2102603018283844')
